uid,station,latitude,longitude,slots,free_bikes,ll
7303,Queen St E / Woodward Ave,43.665269,-79.319796,19,0,"43.665269,-79.319796"
7301,Primrose Ave / Davenport Rd,43.67142,-79.445947,15,12,"43.67142,-79.445947"
7309,Queen St. E / Rhodes Ave.,43.666224,-79.317693,23,4,"43.666224,-79.317693"
7045,Bond St / Queen St E,43.653236,-79.376716,25,11,"43.653236,-79.376716"
7044,Church St / Alexander St,43.663722,-79.380288,27,17,"43.663722,-79.380288"
7047,University Ave / Gerrard St W,43.657763,-79.389165,25,18,"43.657763,-79.389165"
7041,Edward St / Yonge St,43.656729,-79.382736,23,21,"43.656729,-79.382736"
7040,Euclid Ave / Bloor St W,43.664467,-79.414783,19,1,"43.664467,-79.414783"
7128,Yonge St / Aylmer Ave,43.675492,-79.388858,15,14,"43.675492,-79.388858"
7129,Davenport Rd / Avenue Rd,43.674991,-79.396273,11,5,"43.674991,-79.396273"
7126,Yonge St / Yorkville Ave,43.671944,-79.387778,17,4,"43.671944,-79.387778"
7124,Dundas St E / Broadview Ave,43.662365,-79.351104,19,8,"43.662365,-79.351104"
7048,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,47,43,"43.646144,-79.377962"
7120,Gerrard St E / River St,43.663993,-79.358534,11,1,"43.663993,-79.358534"
7121,Jarvis St / Dundas St E,43.657266,-79.374756,27,18,"43.657266,-79.374756"
7346,Logan Av / Gerrard St E,43.6672144,-79.3452697,15,7,"43.6672144,-79.3452697"
7347,Regal Rd / Dufferin St,43.673939,-79.441159,15,6,"43.673939,-79.441159"
7342,Morse St / Eastern Ave,43.657991,-79.340075,11,4,"43.657991,-79.340075"
7343,Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,22,13,"43.66745,-79.329408"
7340,Blake St / Boultbee Ave,43.672453,-79.338259,15,5,"43.672453,-79.338259"
7341,Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,14,8,"43.6592088,-79.3348396"
7349,Gamble Ave / Broadview Ave,43.689211,-79.35438,23,3,"43.689211,-79.35438"
7268,111 Bond St (North of Dundas St E),43.656927,-79.378497,16,13,"43.656927,-79.378497"
7267,Dundas St E / Pembroke St,43.658295,-79.372346,16,4,"43.658295,-79.372346"
7266,Victoria Park Subway Station,43.6940155,-79.2889842,20,9,"43.6940155,-79.2889842"
7262,Wychwood Ave / Benson Ave,43.6809164,-79.4229684,16,7,"43.6809164,-79.4229684"
7379,Lawton Blvd / Yonge St,43.6910667,-79.39535,15,3,"43.6910667,-79.39535"
7378,Yonge St / Davisville Ave,43.6975969,-79.39654,15,6,"43.6975969,-79.39654"
7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,35,10,"43.639832,-79.395954"
7002,St. George St / Bloor St W,43.667333,-79.399429,19,6,"43.667333,-79.399429"
7005,King St W / York St,43.6480008,-79.383177,23,19,"43.6480008,-79.383177"
7004,University Ave / Elm St,43.656518,-79.389099,10,10,"43.656518,-79.389099"
7279,Rosehill Ave / Avoca Ave,43.687999,-79.38906,16,3,"43.687999,-79.38906"
7174,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,15,10,"43.6563889,-79.45166666666667"
7176,Bathurst St / Fort York Blvd,43.639179,-79.399595,19,6,"43.639179,-79.399595"
