ll,name,distance
"43.67142,-79.445947",St Josephat,588.0
"43.67142,-79.445947",Pangaea Consultants,713.0
"43.67142,-79.445947",Hudson College,954.0
"43.67142,-79.445947",StrongMinds Education,1017.0
"43.653236,-79.376716",Ryerson Recreation and Athletics Centre,613.0
"43.653236,-79.376716",Chestnut Residence,697.0
"43.653236,-79.376716",CMU College of Makeup Art & Design,289.0
"43.653236,-79.376716",Infoscape Research Lab,369.0
"43.653236,-79.376716",Campus Facilities & Sustainability,395.0
"43.653236,-79.376716",Creative Innovation Studio,412.0
"43.653236,-79.376716",Ontario Research and Innovation Optical,454.0
"43.653236,-79.376716",Victoria Building,454.0
"43.653236,-79.376716",George Brown College St. James,456.0
"43.653236,-79.376716",HEI 201 GCM Lecture Hall,492.0
"43.653236,-79.376716",George Brown College Gym,494.0
"43.653236,-79.376716",Ryerson University Human Resources,502.0
"43.653236,-79.376716",Ryerson University,508.0
"43.653236,-79.376716",George Brown College St. James Campus,510.0
"43.653236,-79.376716",Ryerson University School of Image Arts,513.0
"43.653236,-79.376716",Chang School for Continuing Education,514.0
"43.653236,-79.376716",George Brown College LIAD 224A,533.0
"43.653236,-79.376716",Rye High Eng,543.0
"43.653236,-79.376716",Ryerson University Campus Store,544.0
"43.653236,-79.376716",TRSM Career Development & Employment Partnership Centre,545.0
"43.653236,-79.376716",Kerr Hall West Room 057,548.0
"43.653236,-79.376716",George Brown College Centre for Hospitality and Culinary Arts,550.0
"43.653236,-79.376716",Ryerson University,552.0
"43.653236,-79.376716",Ted Rogers School of Management,553.0
"43.653236,-79.376716",George Brown College,554.0
"43.653236,-79.376716",Information Technology Management Student Association,561.0
"43.653236,-79.376716",George Brown College - Transitions to Post-Secondary Education,563.0
"43.653236,-79.376716",Good Food Market at GBC - St. James Campus,566.0
"43.653236,-79.376716",Ryerson School of Performance,572.0
"43.653236,-79.376716",RTA Productions,580.0
"43.653236,-79.376716",George Brown College - Centre for Preparatory & Liberal Studies,584.0
"43.653236,-79.376716",Rogers Communucation Centre,587.0
"43.653236,-79.376716",Ryerson OneCard,587.0
"43.653236,-79.376716",Ryerson Hub Cafeteria,587.0
"43.653236,-79.376716",Ryerson University Library 7th Floor,589.0
"43.653236,-79.376716",Association of Undergraduate Women in Science,589.0
"43.653236,-79.376716",Ryerson School of Fashion,596.0
"43.653236,-79.376716",Ryerson University Student Learning Centre,597.0
"43.653236,-79.376716",Library Building,601.0
"43.653236,-79.376716",Ryerson University,603.0
"43.653236,-79.376716",Ryerson University Library 4th Floor,607.0
"43.653236,-79.376716",Toronto Metropolitan University Student Financial Services,611.0
"43.653236,-79.376716",POD Building,637.0
"43.653236,-79.376716",Toronto Metropolitan University Park,638.0
"43.653236,-79.376716",College of Sports Media,642.0
"43.653236,-79.376716",George Brown Building D,647.0
"43.653236,-79.376716",George Brown College Continuing Education,651.0
"43.653236,-79.376716",Ryerson University Quad,652.0
"43.653236,-79.376716",Ryerson Aboriginal Student Svc,652.0
"43.653236,-79.376716",Ryerson Student Affairs,668.0
"43.663722,-79.380288",Ryerson Recreation and Athletics Centre,592.0
"43.663722,-79.380288",HiTech Network Inc,300.0
"43.663722,-79.380288",Neill-Wycik College-Hotel,412.0
"43.663722,-79.380288",SafetyON Environmental Inc,523.0
"43.663722,-79.380288",Kerr Hall West Gym,547.0
"43.663722,-79.380288",Ryerson University Quad,554.0
"43.663722,-79.380288",Toronto Metropolitan University Park,568.0
"43.663722,-79.380288",POD Building,600.0
"43.663722,-79.380288","Faculty of Theology, University of St Michael's College",639.0
"43.663722,-79.380288",Ryerson University Library 4th Floor,640.0
"43.663722,-79.380288",Ryerson University,643.0
"43.663722,-79.380288",Rye High Eng,661.0
"43.663722,-79.380288",Canadian Centre For Verbatim Studies,661.0
"43.663722,-79.380288",Kerr Hall West Room 057,669.0
"43.663722,-79.380288",Toronto Hostels Training Centre,685.0
"43.663722,-79.380288",Ryerson University Student Learning Centre,688.0
"43.663722,-79.380288",Ryerson University School of Image Arts,692.0
"43.663722,-79.380288",HEI 201 GCM Lecture Hall,710.0
"43.663722,-79.380288",Gestalt Institute of Toronto,720.0
"43.663722,-79.380288",Banting Reserch Foundation,733.0
"43.663722,-79.380288",Victoria Building,782.0
"43.663722,-79.380288",Creative Innovation Studio,793.0
"43.663722,-79.380288",St. Michael's College,822.0
"43.663722,-79.380288",Infoscape Research Lab,830.0
"43.663722,-79.380288",Carr Hall,832.0
"43.663722,-79.380288",University of Liverpool Online Degress - Information Session,848.0
"43.663722,-79.380288",Elmsley Hall,856.0
"43.663722,-79.380288",Ryerson University Human Resources,866.0
"43.663722,-79.380288",Pass4sure 642-732 Certification,894.0
"43.663722,-79.380288",Branksome Hall Library,902.0
"43.663722,-79.380288",Centre for Reformation and Renaissance Studies,915.0
"43.663722,-79.380288",Information Technology Management Student Association,916.0
"43.663722,-79.380288",Ted Rogers School of Management,918.0
"43.663722,-79.380288",TRSM Career Development & Employment Partnership Centre,932.0
"43.663722,-79.380288",Rowell Jackman Hall,941.0
"43.663722,-79.380288",Victoria College,978.0
"43.663722,-79.380288",Ewings Canada Academy of Business and Technology,311.0
"43.663722,-79.380288",Trebas Institute,318.0
"43.663722,-79.380288",Western Town College,553.0
"43.663722,-79.380288",Department of Obstetrics and Gynaecology,698.0
"43.663722,-79.380288",UofTSurgery,734.0
"43.663722,-79.380288",St Michael's College,891.0
"43.663722,-79.380288",ESL in Canada,897.0
"43.663722,-79.380288",RGMG - Ryerson Global Management Group,923.0
"43.663722,-79.380288",Bolokelen Malinke Percussion,923.0
"43.663722,-79.380288",Trios Corp,994.0
"43.657763,-79.389165",Ryerson Recreation and Athletics Centre,796.0
"43.657763,-79.389165",Chestnut Residence,507.0
"43.657763,-79.389165",Convocation Hall,595.0
"43.657763,-79.389165",Mowat Centre,120.0
"43.657763,-79.389165",Samuel Lunenfield Research Institute,160.0
"43.657763,-79.389165",Toronto Centre For Phenogenomics,257.0
"43.657763,-79.389165",University of Toronto Postgraduate Medical Education,284.0
"43.657763,-79.389165",Banting Reserch Foundation,294.0
"43.657763,-79.389165",Exam Centre,342.0
"43.657763,-79.389165",Dalla Lana School of Public Health,367.0
"43.657763,-79.389165",Bloomberg Faculty of Nursing Building,404.0
"43.657763,-79.389165",U of T Baja SAE Racing Team,430.0
"43.657763,-79.389165",Mechanical Engineering Building,459.0
"43.657763,-79.389165",NMR Centre,495.0
"43.657763,-79.389165",Engineering & Computer Science Library,508.0
"43.657763,-79.389165",Yoshioka Lab,523.0
"43.657763,-79.389165",Medical Sciences Building,552.0
"43.657763,-79.389165",InteractHome,555.0
"43.657763,-79.389165",Information Technology Management Student Association,559.0
"43.657763,-79.389165",JJR Macleod Auditorium,560.0
"43.657763,-79.389165",Ted Rogers School of Management,567.0
"43.657763,-79.389165",Galbraith Building,598.0
"43.657763,-79.389165",Ryerson University Human Resources,634.0
"43.657763,-79.389165",Engineering Science Common Room,638.0
"43.657763,-79.389165",Koffler Student Services Centre,640.0
"43.657763,-79.389165",Ryerson University Student Learning Centre,644.0
"43.657763,-79.389165",Fields Institute,686.0
"43.657763,-79.389165",Ryerson University,697.0
"43.657763,-79.389165",University of Toronto,716.0
"43.657763,-79.389165",Data Driven Decision Making Lab,725.0
"43.657763,-79.389165",Bahen Centre for Information Technology,744.0
"43.657763,-79.389165",University of Toronto - Department of Anthropolgy,765.0
"43.657763,-79.389165",Victoria Building,767.0
"43.657763,-79.389165",Kerr Hall West Room 057,771.0
"43.657763,-79.389165",Hart House Fitness Centre,772.0
"43.657763,-79.389165",McLennan Physical Laboratories,781.0
"43.657763,-79.389165",Arbor Room,783.0
"43.657763,-79.389165",Anthropology Building,789.0
"43.657763,-79.389165",University of Toronto - Department of Psychiatry,791.0
"43.657763,-79.389165",Ryerson University Quad,792.0
"43.657763,-79.389165",Toronto Metropolitan University Park,793.0
"43.657763,-79.389165",A.D. Allen Chemistry Library,794.0
"43.657763,-79.389165",Hart House Art Committee,798.0
"43.657763,-79.389165",Ryerson University School of Image Arts,820.0
"43.657763,-79.389165",Carr Hall,826.0
"43.657763,-79.389165",OCAD at 230 Richmond,836.0
"43.657763,-79.389165",Lash Miller Chemical Laboratories,844.0
"43.657763,-79.389165","Faculty of Theology, University of St Michael's College",845.0
"43.657763,-79.389165",Creative Innovation Studio,856.0
"43.657763,-79.389165",Hart House Quad,863.0
"43.656729,-79.382736",Ryerson Recreation and Athletics Centre,335.0
"43.656729,-79.382736",Chestnut Residence,351.0
"43.656729,-79.382736",Information Technology Management Student Association,116.0
"43.656729,-79.382736",Ryerson University Human Resources,118.0
"43.656729,-79.382736",Ted Rogers School of Management,120.0
"43.656729,-79.382736",Ryerson University Student Learning Centre,156.0
"43.656729,-79.382736",Ryerson University,224.0
"43.656729,-79.382736",Victoria Building,241.0
"43.656729,-79.382736",POD Building,258.0
"43.656729,-79.382736",Kerr Hall West Room 057,277.0
"43.656729,-79.382736",Kerr Hall West Gym,306.0
"43.656729,-79.382736",Ryerson University School of Image Arts,316.0
"43.656729,-79.382736",Creative Innovation Studio,331.0
"43.656729,-79.382736",Toronto Metropolitan University Park,344.0
"43.656729,-79.382736",Ryerson University Quad,351.0
"43.656729,-79.382736",Infoscape Research Lab,392.0
"43.656729,-79.382736",Rye High Eng,436.0
"43.656729,-79.382736",VerveSmith - Independent Educational Consultants,446.0
"43.656729,-79.382736",Mowat Centre,461.0
"43.656729,-79.382736",University of Toronto Postgraduate Medical Education,563.0
"43.656729,-79.382736",Banting Reserch Foundation,585.0
"43.656729,-79.382736",Neill-Wycik College-Hotel,606.0
"43.656729,-79.382736",Dorothy H. Hoover Library - OCAD University,656.0
"43.656729,-79.382736",Samuel Lunenfield Research Institute,684.0
"43.656729,-79.382736","Rotman School of Management, Executive Programs",776.0
"43.656729,-79.382736",Toronto Centre For Phenogenomics,786.0
"43.656729,-79.382736",OCAD at 230 Richmond,859.0
"43.656729,-79.382736",Exam Centre,871.0
"43.656729,-79.382736",Bloomberg Faculty of Nursing Building,874.0
"43.656729,-79.382736",Health Sciences Building,884.0
"43.656729,-79.382736",Dalla Lana School of Public Health,890.0
"43.656729,-79.382736",CMU College of Makeup Art & Design,894.0
"43.656729,-79.382736",U of T Baja SAE Racing Team,948.0
"43.656729,-79.382736",NMR Centre,970.0
"43.656729,-79.382736",Mechanical Engineering Building,978.0
"43.656729,-79.382736",Medical Sciences Building,1034.0
"43.656729,-79.382736",JJR Macleod Auditorium,1041.0
"43.656729,-79.382736",Western Town College,248.0
"43.656729,-79.382736",Italian Trade Commission Ice,533.0
"43.656729,-79.382736",Ewings Canada Academy of Business and Technology,539.0
"43.656729,-79.382736",Department of Obstetrics and Gynaecology,593.0
"43.656729,-79.382736",UofTSurgery,631.0
"43.656729,-79.382736",University of Toronto's Division of Plastic and Reconstructive Surgery,765.0
"43.656729,-79.382736",The David Asper Centre for Constitutional Righ ts,785.0
"43.656729,-79.382736",Trebas Institute,872.0
"43.656729,-79.382736",NIC Newton International College,886.0
"43.656729,-79.382736",University of Toronto,886.0
"43.656729,-79.382736",Engineering Athletics Association,913.0
"43.656729,-79.382736",Lassonde Mining Building,933.0
"43.656729,-79.382736",Orano,940.0
"43.664467,-79.414783",Studiotek Internatioanl Lanuage College,214.0
"43.664467,-79.414783",The Randolph Academy,339.0
"43.664467,-79.414783",Loretto College School,740.0
"43.664467,-79.414783",JCC Aftercare,860.0
"43.664467,-79.414783",Travel College Canada,916.0
"43.664467,-79.414783",Cadence House,918.0
"43.664467,-79.414783",King Edward Junior and Senior Public School,922.0
"43.664467,-79.414783",Alliance Francaise,928.0
"43.664467,-79.414783",Department of Sociology,937.0
"43.664467,-79.414783",District 3 Viet Coffee,988.0
"43.664467,-79.414783",Randolph Academy For the Performing Arts,321.0
"43.664467,-79.414783",Ikka,552.0
"43.664467,-79.414783",Grad Room,609.0
"43.664467,-79.414783",Prep101 Inc,874.0
"43.664467,-79.414783",Travel Training Career Centre Ltd,895.0
"43.664467,-79.414783","Mathematical Finance Program, University of Toronto",912.0
"43.664467,-79.414783",University of Toronto,959.0
"43.675492,-79.388858",Isabel Bader Theatre,955.0
"43.675492,-79.388858",International Language Academy of Canada,154.0
"43.675492,-79.388858",Trillium College,230.0
"43.675492,-79.388858",Toronto Mandarin School,326.0
"43.675492,-79.388858",Marvel School of Skin Care,457.0
"43.675492,-79.388858",George brown yorkville school of makeup and esthetics,468.0
"43.675492,-79.388858",ILAC Cumberland,525.0
"43.675492,-79.388858",Language Connections,563.0
"43.675492,-79.388858",Tamwood Language School Toronto,578.0
"43.675492,-79.388858",Canadian Business College,585.0
"43.675492,-79.388858",Berlitz Toronto,587.0
"43.675492,-79.388858",ILAC Yorkville Campus,602.0
"43.675492,-79.388858",EF Education First,623.0
"43.675492,-79.388858",Rad,629.0
"43.675492,-79.388858",Cornerstone Academic College,651.0
"43.675492,-79.388858",Ontario College of Teachers,707.0
"43.675492,-79.388858","University of Toronto, Frequently Called Numbers, Student Family Housing",728.0
"43.675492,-79.388858",Access International English Language Centre,745.0
"43.675492,-79.388858",Centre for Medieval Studies,772.0
"43.675492,-79.388858",Complections International Academy of Make-up Artistry,799.0
"43.675492,-79.388858",George Brown College Daycare,823.0
"43.675492,-79.388858",Toronto Hostels Training Centre,825.0
"43.675492,-79.388858",Branksome Hall Library,847.0
"43.675492,-79.388858",Avenu Education Group,849.0
"43.675492,-79.388858",Lillian Massey Building,849.0
"43.675492,-79.388858",University of Toronto Student Family Housing,851.0
"43.675492,-79.388858",Canadian Centre For Verbatim Studies,864.0
"43.675492,-79.388858",Margaret Addison Hall,877.0
"43.675492,-79.388858",Rowell Jackman Hall,908.0
"43.675492,-79.388858","Anderson College of Health, Business and Technology",924.0
"43.675492,-79.388858",Loretto College,924.0
"43.675492,-79.388858",Tackaberry Library,925.0
"43.675492,-79.388858",Goldring Student Centre,926.0
"43.675492,-79.388858",TutorBright,928.0
"43.675492,-79.388858",Phi Kappa Pi Fraternity,930.0
"43.675492,-79.388858",Annesley Hall,932.0
"43.675492,-79.388858",Ned's Cafe,932.0
"43.675492,-79.388858",Burwash Hall,947.0
"43.675492,-79.388858",Global Village Language School,960.0
"43.675492,-79.388858",Royal Canadian Institute of Intternational Studies,961.0
"43.675492,-79.388858",Victoria College,973.0
"43.675492,-79.388858",Elmsley Hall,983.0
"43.675492,-79.388858",Hotdocs industry centre,986.0
"43.675492,-79.388858",Burwash Residence,997.0
"43.675492,-79.388858",Birge Carnegie,1003.0
"43.675492,-79.388858",Brain Sensei Inc,1017.0
"43.675492,-79.388858",Oxford College of Canada Inc,34.0
"43.675492,-79.388858",Royal College of Canada,90.0
"43.675492,-79.388858",Key 2 Careers,153.0
"43.675492,-79.388858",Key2 Careers College of Business & Technology Inc,159.0
"43.674991,-79.396273",Isabel Bader Theatre,901.0
"43.674991,-79.396273",Phi Kappa Pi Fraternity,518.0
"43.674991,-79.396273",George brown yorkville school of makeup and esthetics,563.0
"43.674991,-79.396273",ILAC Yorkville Campus,577.0
"43.674991,-79.396273",International Language Academy of Canada,597.0
"43.674991,-79.396273",Ontario Alpha Chapter of Phi Delta Theta,622.0
"43.674991,-79.396273",Avenu Education Group,644.0
"43.674991,-79.396273","Anderson College of Health, Business and Technology",739.0
"43.674991,-79.396273",ILAC Cumberland,753.0
"43.674991,-79.396273",Centre de recherches en éducation franco-ontar ienne - CREFO,754.0
"43.674991,-79.396273",Ontario Institute for Studies in Education,757.0
"43.674991,-79.396273",Ontario College of Teachers,766.0
"43.674991,-79.396273",Factor-Inwentash Faculty of Social Work,767.0
