station,latitude,longitude,slots,free_bikes,ll
Queen St E / Woodward Ave,43.665269,-79.319796,19,7,"43.665269,-79.319796"
Primrose Ave / Davenport Rd,43.67142,-79.445947,15,13,"43.67142,-79.445947"
Queen St. E / Rhodes Ave.,43.666224,-79.317693,23,4,"43.666224,-79.317693"
Bond St / Queen St E,43.653236,-79.376716,25,11,"43.653236,-79.376716"
Church St / Alexander St,43.663722,-79.380288,27,9,"43.663722,-79.380288"
University Ave / Gerrard St W,43.657763,-79.389165,25,15,"43.657763,-79.389165"
Edward St / Yonge St,43.656729,-79.382736,23,7,"43.656729,-79.382736"
Euclid Ave / Bloor St W,43.664467,-79.414783,19,7,"43.664467,-79.414783"
Yonge St / Aylmer Ave,43.675492,-79.388858,15,14,"43.675492,-79.388858"
Davenport Rd / Avenue Rd,43.674991,-79.396273,11,5,"43.674991,-79.396273"
Yonge St / Yorkville Ave,43.671944,-79.387778,17,5,"43.671944,-79.387778"
Dundas St E / Broadview Ave,43.662365,-79.351104,19,8,"43.662365,-79.351104"
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,47,2,"43.646144,-79.377962"
Gerrard St E / River St,43.663993,-79.358534,11,5,"43.663993,-79.358534"
Jarvis St / Dundas St E,43.657266,-79.374756,27,15,"43.657266,-79.374756"
Logan Av / Gerrard St E,43.6672144,-79.3452697,15,10,"43.6672144,-79.3452697"
Regal Rd / Dufferin St,43.673939,-79.441159,15,9,"43.673939,-79.441159"
Morse St / Eastern Ave,43.657991,-79.340075,11,4,"43.657991,-79.340075"
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,22,16,"43.66745,-79.329408"
Blake St / Boultbee Ave,43.672453,-79.338259,15,7,"43.672453,-79.338259"
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,14,7,"43.6592088,-79.3348396"
Gamble Ave / Broadview Ave,43.689211,-79.35438,23,9,"43.689211,-79.35438"
111 Bond St (North of Dundas St E),43.656927,-79.378497,16,7,"43.656927,-79.378497"
Dundas St E / Pembroke St,43.658295,-79.372346,16,14,"43.658295,-79.372346"
Victoria Park Subway Station,43.6940155,-79.2889842,20,12,"43.6940155,-79.2889842"
Wychwood Ave / Benson Ave,43.6809164,-79.4229684,16,13,"43.6809164,-79.4229684"
Lawton Blvd / Yonge St,43.6910667,-79.39535,15,9,"43.6910667,-79.39535"
Yonge St / Davisville Ave,43.6975969,-79.39654,15,9,"43.6975969,-79.39654"
Fort York  Blvd / Capreol Ct,43.639832,-79.395954,35,29,"43.639832,-79.395954"
St. George St / Bloor St W,43.667333,-79.399429,19,7,"43.667333,-79.399429"
King St W / York St,43.6480008,-79.383177,23,8,"43.6480008,-79.383177"
University Ave / Elm St,43.656518,-79.389099,10,2,"43.656518,-79.389099"
Rosehill Ave / Avoca Ave,43.687999,-79.38906,16,6,"43.687999,-79.38906"
Bloor St W / Dundas St W,43.6563889,-79.45166666666667,15,4,"43.6563889,-79.45166666666667"
Bathurst St / Fort York Blvd,43.639179,-79.399595,19,11,"43.639179,-79.399595"
Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,15,6,"43.6616667,-79.40138888888889"
Cariboo St / Rail Path,43.66666667,-79.45833333333334,19,7,"43.66666667,-79.45833333333334"
Dundas St W / Edna Ave,43.657192,-79.452559,15,7,"43.657192,-79.452559"
College St / Major St,43.6576,-79.4032,15,0,"43.6576,-79.4032"
McGill St / Church St,43.660694,-79.379052,19,12,"43.660694,-79.379052"
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,27,23,"43.636533,-79.395854"
College Park South,43.659777,-79.382767,18,11,"43.659777,-79.382767"
25 York St – Union Station South,43.643667,-79.380414,11,7,"43.643667,-79.380414"
161 Bleecker St (South of Wellesley),43.666233,-79.373327,23,13,"43.666233,-79.373327"
Spadina Ave / Fort York Blvd,43.640114,-79.393249,23,17,"43.640114,-79.393249"
Augusta Ave / Denison Sq,43.653766,-79.4016759,12,10,"43.653766,-79.4016759"
Lansdowne Ave / Wade Ave,43.6587734,-79.443054,23,4,"43.6587734,-79.443054"
Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,15,3,"43.6538888888889,-79.4413888888889"
Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,19,2,"43.6508333333333,-79.4430555555556"
St Clarens Ave / College St,43.651238,-79.43868,15,7,"43.651238,-79.43868"
Ossington Ave / College St,43.6544915,-79.422634,11,7,"43.6544915,-79.422634"
High Park Subway Station,43.6543604,-79.4655296,11,3,"43.6543604,-79.4655296"
Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,19,15,"43.635932,-79.465083"
Parkside Dr / Bloor St W,43.654501,-79.460053,12,11,"43.654501,-79.460053"
Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,19,12,"43.634896,-79.467763"
Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,31,23,"43.6314,-79.4304"
Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,19,6,"43.636731,-79.444966"
Dundas St W / Roncesvalles Green P,43.6534268,-79.4512787,12,5,"43.6534268,-79.4512787"
Erskine Ave / Yonge St SMART,43.7112153,-79.39894,16,4,"43.7112153,-79.39894"
"D'Arcy St, /McCaul St. SMART",43.655227,-79.39201,15,14,"43.655227,-79.39201"
Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,12,3,"43.685167,-79.34962"
Cumberland Ave / Bay St SMART,43.6704537,-79.39014,9,8,"43.6704537,-79.39014"
20 Charles St E,43.6691099,-79.38551,22,13,"43.6691099,-79.38551"
Niagara St / Tecumseth St,43.641389,-79.404444,15,12,"43.641389,-79.404444"
424 Wellington St W,43.643834,-79.396649,15,13,"43.643834,-79.396649"
Dundas St W / St. Patrick St,43.6545174,-79.3895315,19,4,"43.6545174,-79.3895315"
Robert St / Bloor St W,43.665846,-79.404998,18,3,"43.665846,-79.404998"
John St / Mercer St - SMART,43.6461,-79.3895,11,6,"43.6461,-79.3895"
Queen St E / Hammersmith Ave,43.671349,-79.29451,11,11,"43.671349,-79.29451"
Queen St. E / Eastern Ave,43.667208,-79.312315,15,1,"43.667208,-79.312315"
Hubbard Blvd / Balsam Av,43.669328,-79.288949,19,17,"43.669328,-79.288949"
Queen St. E / Spruce Hill Rd.,43.672571,-79.289,15,12,"43.672571,-79.289"
