name,review_count,rating,distance,price,latitude,longitude
Black Pony,8.0,4.5,805.5180733412958,,43.665269,-79.319796
Eulalie's Corner Store,31.0,4.5,826.3430427593006,$$,43.665269,-79.319796
Le Conciliabule,13.0,4.5,903.6090778135728,,43.665269,-79.319796
Boardwalk Place,15.0,2.5,758.5673987733968,$$,43.665269,-79.319796
History,7.0,4.5,533.9070308993322,$$$,43.665269,-79.319796
Jenni Place,7.0,3.0,829.7591404468369,$,43.665269,-79.319796
Shamrock Bowl and Restobar,9.0,4.0,896.9148590711698,,43.665269,-79.319796
The Duke Live,30.0,3.5,877.7059437687415,$$,43.665269,-79.319796
Queen's Head,35.0,2.5,918.5274490079247,$$,43.665269,-79.319796
The Thirsty Loon,1.0,4.0,792.3322184932346,,43.665269,-79.319796
Two Headed Dog,33.0,2.5,792.2275544292477,$$,43.665269,-79.319796
Tulia Osteria,1.0,5.0,365.1153942401661,,43.665269,-79.319796
Lake Inez,94.0,4.5,794.6619550133811,$$$,43.665269,-79.319796
Betty’s East,5.0,4.0,689.7787205765445,,43.665269,-79.319796
Lloyd's On Queen,1.0,5.0,707.5988198358981,,43.665269,-79.319796
Beach Club,19.0,3.0,839.3120734378176,,43.665269,-79.319796
Baldev Paan Cold Drink House,3.0,3.0,772.5122519140297,,43.665269,-79.319796
Toronto Beach Club,13.0,3.0,839.3120734378176,,43.665269,-79.319796
JP Restaurant,10.0,3.5,868.7163980383974,,43.665269,-79.319796
The Cat's Cradle  Sports and Spirits,5.0,4.5,634.1996550143325,,43.67142,-79.445947
The Greater Good Bar,53.0,4.0,604.2489921990292,$$,43.67142,-79.445947
CANO Restaurant,71.0,4.5,920.0498725031512,$$,43.67142,-79.445947
This Month Only Bar,5.0,1.0,819.082749274442,$,43.67142,-79.445947
EL TREN LATÍNO,1.0,4.0,774.1798552345078,,43.67142,-79.445947
Boo Radley's Junction Bar and Grill,46.0,3.5,690.4815139176742,$$,43.67142,-79.445947
Brothers Bar,10.0,3.0,1200.7216053367977,$,43.67142,-79.445947
Fox And Fiddle,26.0,2.0,911.1064819876257,$$,43.67142,-79.445947
La Fogata Bar & Restaurant,1.0,1.0,768.8996348967678,,43.67142,-79.445947
Vivid Bar,1.0,3.0,964.9381011744875,,43.67142,-79.445947
Gaivota Sports Bar,2.0,3.0,893.092019342385,,43.67142,-79.445947
Black Pony,8.0,4.5,732.1834312071888,,43.666224,-79.317693
Eulalie's Corner Store,31.0,4.5,777.0346537684312,$$,43.666224,-79.317693
History,7.0,4.5,342.59882226747686,$$$,43.666224,-79.317693
Boardwalk Place,15.0,2.5,653.0793338126592,$$,43.666224,-79.317693
Le Conciliabule,13.0,4.5,956.3312077542579,,43.666224,-79.317693
Shamrock Bowl and Restobar,9.0,4.0,807.1143033461206,,43.666224,-79.317693
Jenni Place,7.0,3.0,843.6819445319073,$,43.666224,-79.317693
Two Headed Dog,33.0,2.5,725.9022457610359,$$,43.666224,-79.317693
The Thirsty Loon,1.0,4.0,708.8060406579343,,43.666224,-79.317693
Lake Inez,94.0,4.5,726.2105823651318,$$$,43.666224,-79.317693
Betty’s East,5.0,4.0,884.1493841164757,,43.666224,-79.317693
Lloyd's On Queen,1.0,5.0,898.9866316306102,,43.666224,-79.317693
Beach Club,19.0,3.0,735.5028477283719,,43.666224,-79.317693
Tulia Osteria,1.0,5.0,553.9020760674997,,43.666224,-79.317693
Baldev Paan Cold Drink House,3.0,3.0,764.8034076974823,,43.666224,-79.317693
Toronto Beach Club,13.0,3.0,735.5028477283719,,43.666224,-79.317693
JP Restaurant,10.0,3.5,776.8618620716447,,43.666224,-79.317693
The Carbon Bar,419.0,4.0,151.11249545442493,$$$,43.653236,-79.376716
11:59 Bar:Café,4.0,4.0,523.1427125005698,,43.653236,-79.376716
CC Lounge & Whisky Bar,107.0,4.0,642.6693061888726,$$,43.653236,-79.376716
Hendriks Restaurant & Bar,116.0,4.0,269.68300532343875,$$$,43.653236,-79.376716
Beerbistro,681.0,4.0,420.6646117132331,$$,43.653236,-79.376716
CRAFT Beer Market,185.0,3.5,359.63564795985343,$$,43.653236,-79.376716
CKTL,5.0,4.0,509.0272096532611,,43.653236,-79.376716
McVeigh's New Windsor Tavern,39.0,3.5,141.22713562219496,$$,43.653236,-79.376716
Imperial Pub,157.0,3.5,384.65187597914246,$$,43.653236,-79.376716
Teller's Bar and Lounge,5.0,4.5,500.2520040199727,$$,43.653236,-79.376716
Page One,90.0,4.0,514.7300727124978,$$,43.653236,-79.376716
Score on King,55.0,3.5,433.51242803194907,,43.653236,-79.376716
Library Bar,128.0,4.0,862.2803532383945,$$$,43.653236,-79.376716
The Queen And Beaver Public House,414.0,4.0,699.7921068840234,$$,43.653236,-79.376716
Bar Cathedral,2.0,5.0,703.3418374202508,,43.653236,-79.376716
King Taps,400.0,4.0,651.9579259275845,$$,43.653236,-79.376716
Cactus Club Cafe,603.0,4.0,624.5757406693901,$$,43.653236,-79.376716
Walrus Pub & Beer Hall,79.0,3.5,678.5937055471816,$$$,43.653236,-79.376716
LOUIX LOUIS,126.0,3.5,473.36856403276306,$$$,43.653236,-79.376716
Drake Mini Bar,11.0,4.0,755.0526435310392,,43.653236,-79.376716
The Cavern Bar,12.0,4.0,311.6281247973398,$,43.653236,-79.376716
P.J. O'Brien Irish Pub and Restaurant,106.0,4.0,492.98495769385937,$$,43.653236,-79.376716
The Reservoir Lounge,121.0,4.0,543.9375397723362,$$,43.653236,-79.376716
AAA Bar,123.0,3.5,355.6964008819511,$$,43.653236,-79.376716
Leña Restaurante,291.0,3.5,320.934674584202,$$$,43.653236,-79.376716
Firkin on Yonge,112.0,3.0,233.85075845965721,$$,43.653236,-79.376716
Dukes Refresher,12.0,4.0,604.1199835322875,$$,43.653236,-79.376716
43 Down,1.0,5.0,642.5444309118255,,43.653236,-79.376716
The 3 Brewers,299.0,3.0,393.12631605254387,$$,43.653236,-79.376716
Yonge Street Warehouse,114.0,2.5,622.4918683222273,$,43.653236,-79.376716
Ali Basha,20.0,4.0,403.79161722708005,$,43.653236,-79.376716
Bar+ Karaoke Lounge,120.0,4.0,705.0325249421304,$$,43.653236,-79.376716
The Senator,492.0,4.0,334.0862515727654,$$,43.653236,-79.376716
The Chase,425.0,3.5,317.7689497204306,$$$,43.653236,-79.376716
VIV At The Cosmo,2.0,4.0,494.3015663886066,,43.653236,-79.376716
George Restaurant,298.0,4.5,192.61427926784526,$$$$,43.653236,-79.376716
C'est What,346.0,3.5,619.3972508079466,$$,43.653236,-79.376716
Citrus Restaurant and Lounge,17.0,4.0,430.16183374131197,$$,43.653236,-79.376716
The Vintage Conservatory,7.0,4.0,327.87820304002935,$$,43.653236,-79.376716
Alobar Downtown,4.0,4.5,755.0552457937713,,43.653236,-79.376716
KINKA IZAKAYA ORIGINAL,1814.0,4.0,818.3672641461987,$$,43.653236,-79.376716
The Wing Shop,1.0,4.0,512.2938280451172,,43.653236,-79.376716
Clockwork Champagne & Cocktails,23.0,4.0,925.2478607941124,,43.653236,-79.376716
Hy's Steakhouse & Cocktail Bar,64.0,4.0,411.822680833976,,43.653236,-79.376716
Twilight Cafe,9.0,4.0,347.95384168622377,,43.653236,-79.376716
Rex's,12.0,3.5,702.2126417759072,$$,43.653236,-79.376716
The Loose Moose,460.0,3.5,1059.4745852245449,$$,43.653236,-79.376716
Bar St Lo,7.0,4.5,616.6390717507952,,43.653236,-79.376716
EPOCH Bar & Kitchen Terrace,20.0,4.0,1224.689653975731,,43.653236,-79.376716
The Bottom Line,58.0,2.5,726.5839099299133,$$,43.653236,-79.376716
Hair of the Dog,369.0,4.0,102.74360938293962,$$,43.663722,-79.380288
Bar Volo,28.0,4.5,469.11521487432753,,43.663722,-79.380288
Storm Crow Manor,147.0,4.0,353.79213063846925,$$,43.663722,-79.380288
Woody's,69.0,3.5,76.55358729637432,$$,43.663722,-79.380288
The Blake House,162.0,4.0,266.1224589475138,$$,43.663722,-79.380288
Buddies In Bad Times Theatre,23.0,4.0,220.61555541331344,$,43.663722,-79.380288
Horangee Sikdang,42.0,4.5,393.4154721088926,,43.663722,-79.380288
The Drink,20.0,2.5,52.83519430742135,$$$,43.663722,-79.380288
Pegasus On Church,30.0,4.0,154.85268812422066,$$,43.663722,-79.380288
Mick E Fynn's,52.0,2.5,254.92716999347448,$$,43.663722,-79.380288
The Queen And Beaver Public House,414.0,4.0,750.2916296459066,$$,43.663722,-79.380288
Skylight Rooftop Bar,14.0,4.0,869.360577622432,$$$$,43.663722,-79.380288
KINKA IZAKAYA ORIGINAL,1814.0,4.0,383.3225709992662,$$,43.663722,-79.380288
Bar+ Karaoke Lounge,120.0,4.0,617.9606273164119,$$,43.663722,-79.380288
Crews & Tangos,99.0,2.5,56.25044435409463,$$,43.663722,-79.380288
Page One,90.0,4.0,728.8305246849355,$$,43.663722,-79.380288
Black Eagle,22.0,3.5,56.88574955203182,$$,43.663722,-79.380288
Afuri,21.0,4.0,129.9860206884316,,43.663722,-79.380288
